xj	       F(xj)				f(xj)-F(xj)	                       f(xj) :           n = 20
-1.05	   4.7695784e+73		   4.7695784e+73			      0.94463674
-1.04	   2.2782137e+73		   2.2782137e+73			       0.9395269
-1.03	    9.471775e+72		    9.471775e+72			      0.93423504
-1.02	   3.0780058e+72		   3.0780058e+72			       0.9287662
-1.01	   5.5584841e+71		   5.5584841e+71			      0.92312532
-1	      0.91731728		               0			      0.91731728
-0.99	   2.7767242e+71		   2.7767242e+71			      0.91134684
-0.98	   7.6433041e+71		   7.6433041e+71			      0.90521871
-0.97	   1.1570637e+72		   1.1570637e+72			      0.89893747
-0.96	   1.3457818e+72		   1.3457818e+72			      0.89250765
-0.95	   1.3268405e+72		   1.3268405e+72			      0.88593368

